seq	run	block	sp	tc
BBS12042	q3-ipssp	all	0.608	0.400
BBS12042	q3-ipssp	core	0.652	0.460
BBS12006	sov	all	0.873	0.820
BBS12006	sov	core	0.943	0.900
BBS12011	sov-ipssp	all	0.670	0.390
BBS12011	sov-ipssp	core	0.765	0.530
BBS12031	sov-ipssp	all	0.799	0.620
BBS12031	sov-ipssp	core	0.865	0.710
BBS12024	sov	all	0.875	0.760
BBS12024	sov	core	0.940	0.880
BB12038	q3-ipssp	all	0.797	0.480
BB12038	q3-ipssp	core	0.924	0.780
BBS12003	q3	all	0.880	0.780
BBS12003	q3	core	0.925	0.860
BB12035	ref	all	0.873	0.440
BB12035	ref	core	0.957	0.680
BB12020	sov-ipssp	all	0.803	0.710
BB12020	sov-ipssp	core	0.952	0.910
BBS12006	ref	all	0.875	0.820
BBS12006	ref	core	0.940	0.900
BBS12007	sov	all	0.831	0.660
BBS12007	sov	core	0.866	0.710
BB12034	sov	all	0.852	0.730
BB12034	sov	core	0.882	0.780
BBS12011	abs	all	0.670	0.380
BBS12011	abs	core	0.760	0.500
BB12018	q3-ipssp	all	0.890	0.840
BB12018	q3-ipssp	core	0.923	0.880
BB12036	q3-ipssp	all	0.941	0.870
BB12036	q3-ipssp	core	0.972	0.930
BB12014	q3-ipssp	all	0.982	0.910
BB12014	q3-ipssp	core	0.979	0.900
BB12005	sov-ipssp	all	0.829	0.540
BB12005	sov-ipssp	core	0.896	0.690
BB12014	ref	all	0.959	0.810
BB12014	ref	core	0.953	0.790
BB12033	ref	all	0.670	0.450
BB12033	ref	core	0.748	0.570
BBS12014	q3-ipssp	all	0.973	0.870
BBS12014	q3-ipssp	core	0.969	0.860
BB12006	abs	all	0.870	0.810
BB12006	abs	core	0.943	0.900
BBS12003	abs	all	0.761	0.610
BBS12003	abs	core	0.819	0.700
BBS12028	sov-ipssp	all	0.751	0.490
BBS12028	sov-ipssp	core	0.886	0.700
BBS12012	sov-ipssp	all	0.583	0.370
BBS12012	sov-ipssp	core	0.761	0.570
BB12012	abs	all	0.525	0.370
BB12012	abs	core	0.726	0.570
BBS12012	q3-ipssp	all	0.583	0.370
BBS12012	q3-ipssp	core	0.759	0.570
BB12040	abs	all	0.933	0.900
BB12040	abs	core	0.970	0.950
BBS12007	q3	all	0.824	0.660
BBS12007	q3	core	0.863	0.710
BBS12030	sov-ipssp	all	0.912	0.800
BBS12030	sov-ipssp	core	0.956	0.880
BB12022	q3	all	0.778	0.570
BB12022	q3	core	0.906	0.780
BB12024	q3	all	0.892	0.790
BB12024	q3	core	0.963	0.920
BBS12001	abs	all	0.745	0.520
BBS12001	abs	core	0.842	0.680
BB12024	sov-ipssp	all	0.892	0.780
BB12024	sov-ipssp	core	0.958	0.910
BB12028	abs	all	0.753	0.550
BB12028	abs	core	0.895	0.760
BBS12027	abs	all	0.920	0.720
BBS12027	abs	core	0.953	0.800
BB12029	q3	all	0.832	0.860
BB12029	q3	core	0.972	0.920
BB12022	abs	all	0.773	0.560
BB12022	abs	core	0.898	0.760
BB12039	abs	all	0.306	0.000
BB12039	abs	core	0.321	0.000
BBS12032	q3-ipssp	all	0.714	0.300
BBS12032	q3-ipssp	core	0.797	0.440
BBS12033	abs	all	0.679	0.410
BBS12033	abs	core	0.742	0.500
BB12024	ref	all	0.882	0.770
BB12024	ref	core	0.945	0.890
BB12003	abs	all	0.756	0.590
BB12003	abs	core	0.819	0.700
BB12011	q3	all	0.657	0.360
BB12011	q3	core	0.754	0.500
BB12009	q3-ipssp	all	0.723	0.430
BB12009	q3-ipssp	core	0.727	0.450
BB12029	sov-ipssp	all	0.843	0.870
BB12029	sov-ipssp	core	0.971	0.910
BB12021	abs	all	0.823	0.730
BB12021	abs	core	0.916	0.870
BBS12038	sov-ipssp	all	0.793	0.490
BBS12038	sov-ipssp	core	0.887	0.730
BBS12028	q3-ipssp	all	0.754	0.510
BBS12028	q3-ipssp	core	0.887	0.720
BB12007	abs	all	0.840	0.700
BB12007	abs	core	0.876	0.740
BBS12002	ref	all	0.908	0.730
BBS12002	ref	core	0.910	0.730
BBS12012	abs	all	0.565	0.370
BBS12012	abs	core	0.730	0.580
BBS12026	q3-ipssp	all	0.858	0.570
BBS12026	q3-ipssp	core	0.913	0.660
BBS12004	sov	all	0.890	0.550
BBS12004	sov	core	0.922	0.630
BBS12042	q3	all	0.617	0.400
BBS12042	q3	core	0.672	0.460
BB12017	ref	all	0.867	0.700
BB12017	ref	core	0.937	0.830
BBS12041	abs	all	0.571	0.260
BBS12041	abs	core	0.790	0.470
BBS12009	sov-ipssp	all	0.815	0.540
BBS12009	sov-ipssp	core	0.816	0.540
BBS12017	sov	all	0.868	0.710
BBS12017	sov	core	0.945	0.850
BB12040	sov	all	0.933	0.900
BB12040	sov	core	0.970	0.950
BB12026	ref	all	0.861	0.590
BB12026	ref	core	0.912	0.710
BB12020	ref	all	0.807	0.710
BB12020	ref	core	0.952	0.910
BBS12023	sov	all	0.803	0.660
BBS12023	sov	core	0.838	0.710
BBS12019	q3-ipssp	all	0.854	0.720
BBS12019	q3-ipssp	core	0.917	0.830
BBS12044	sov	all	0.860	0.640
BBS12044	sov	core	0.895	0.720
BB12009	sov	all	0.723	0.430
BB12009	sov	core	0.727	0.450
BB12001	q3	all	0.740	0.490
BB12001	q3	core	0.834	0.650
BB12011	abs	all	0.657	0.380
BB12011	abs	core	0.748	0.500
BBS12019	sov-ipssp	all	0.881	0.770
BBS12019	sov-ipssp	core	0.939	0.870
BBS12010	q3-ipssp	all	0.883	0.710
BBS12010	q3-ipssp	core	0.923	0.810
BBS12010	sov	all	0.899	0.750
BBS12010	sov	core	0.939	0.840
BB12027	q3	all	0.871	0.670
BB12027	q3	core	0.930	0.780
BB12028	sov	all	0.747	0.530
BB12028	sov	core	0.890	0.750
BB12003	sov	all	0.859	0.730
BB12003	sov	core	0.898	0.810
BB12033	sov	all	0.661	0.390
BB12033	sov	core	0.733	0.490
BB12008	ref	all	0.880	0.560
BB12008	ref	core	0.923	0.690
BBS12038	sov	all	0.836	0.510
BBS12038	sov	core	0.934	0.770
BBS12023	abs	all	0.799	0.650
BBS12023	abs	core	0.836	0.710
BBS12011	q3	all	0.665	0.370
BBS12011	q3	core	0.760	0.500
BB12014	abs	all	0.941	0.730
BB12014	abs	core	0.933	0.690
BB12023	q3	all	0.798	0.650
BB12023	q3	core	0.835	0.710
BB12042	q3-ipssp	all	0.604	0.400
BB12042	q3-ipssp	core	0.652	0.460
BBS12022	q3-ipssp	all	0.487	0.240
BBS12022	q3-ipssp	core	0.576	0.310
BB12005	abs	all	0.829	0.470
BB12005	abs	core	0.887	0.590
BBS12031	abs	all	0.795	0.620
BBS12031	abs	core	0.858	0.710
BB12041	q3-ipssp	all	0.552	0.240
BB12041	q3-ipssp	core	0.771	0.450
BB12008	abs	all	0.900	0.650
BB12008	abs	core	0.939	0.800
BBS12023	q3-ipssp	all	0.738	0.570
BBS12023	q3-ipssp	core	0.776	0.630
BBS12001	q3	all	0.749	0.510
BBS12001	q3	core	0.840	0.670
BB12018	ref	all	0.878	0.830
BB12018	ref	core	0.914	0.880
BB12025	sov	all	0.758	0.610
BB12025	sov	core	0.888	0.810
BBS12015	sov	all	0.963	0.910
BBS12015	sov	core	1.000	1.000
BBS12033	q3-ipssp	all	0.704	0.450
BBS12033	q3-ipssp	core	0.775	0.570
BBS12027	q3-ipssp	all	0.912	0.690
BBS12027	q3-ipssp	core	0.941	0.730
BBS12021	abs	all	0.837	0.730
BBS12021	abs	core	0.916	0.870
BB12039	q3-ipssp	all	0.410	0.000
BB12039	q3-ipssp	core	0.425	0.000
BBS12041	q3	all	0.679	0.410
BBS12041	q3	core	0.898	0.690
BB12038	ref	all	0.819	0.500
BB12038	ref	core	0.924	0.780
BB12021	q3	all	0.823	0.730
BB12021	q3	core	0.916	0.870
BB12004	q3-ipssp	all	0.872	0.480
BB12004	q3-ipssp	core	0.907	0.570
BB12002	sov	all	0.873	0.680
BB12002	sov	core	0.878	0.700
BB12015	q3	all	0.946	0.830
BB12015	q3	core	0.997	0.980
BBS12032	q3	all	0.675	0.300
BBS12032	q3	core	0.733	0.440
BB12016	sov-ipssp	all	0.810	0.610
BB12016	sov-ipssp	core	0.889	0.760
BBS12034	q3	all	0.870	0.770
BBS12034	q3	core	0.905	0.820
BBS12033	q3	all	0.680	0.410
BBS12033	q3	core	0.742	0.500
BB12013	ref	all	0.923	0.830
BB12013	ref	core	0.963	0.890
BBS12025	ref	all	0.777	0.650
BBS12025	ref	core	0.904	0.850
BBS12003	sov	all	0.865	0.760
BBS12003	sov	core	0.905	0.830
BBS12040	sov-ipssp	all	0.950	0.920
BBS12040	sov-ipssp	core	0.989	0.970
BB12044	sov-ipssp	all	0.850	0.620
BB12044	sov-ipssp	core	0.898	0.700
BBS12039	q3-ipssp	all	0.294	0.000
BBS12039	q3-ipssp	core	0.292	0.000
BBS12007	q3-ipssp	all	0.828	0.640
BBS12007	q3-ipssp	core	0.862	0.680
BBS12042	sov-ipssp	all	0.608	0.400
BBS12042	sov-ipssp	core	0.655	0.460
BB12003	q3-ipssp	all	0.830	0.710
BB12003	q3-ipssp	core	0.907	0.860
BBS12041	ref	all	0.593	0.330
BBS12041	ref	core	0.828	0.580
BBS12035	q3	all	0.823	0.460
BBS12035	q3	core	0.952	0.720
BBS12001	q3-ipssp	all	0.735	0.520
BBS12001	q3-ipssp	core	0.828	0.680
BBS12022	ref	all	0.832	0.710
BBS12022	ref	core	0.969	0.940
BBS12040	ref	all	0.949	0.920
BBS12040	ref	core	0.986	0.970
BBS12012	sov	all	0.554	0.370
BBS12012	sov	core	0.717	0.570
BBS12014	abs	all	0.921	0.730
BBS12014	abs	core	0.910	0.690
BB12041	sov-ipssp	all	0.524	0.230
BB12041	sov-ipssp	core	0.706	0.430
BB12044	q3	all	0.847	0.630
BB12044	q3	core	0.894	0.700
BBS12044	sov-ipssp	all	0.848	0.590
BBS12044	sov-ipssp	core	0.888	0.670
BB12041	abs	all	0.579	0.260
BB12041	abs	core	0.790	0.470
BB12015	ref	all	0.902	0.750
BB12015	ref	core	0.976	0.930
BBS12034	q3-ipssp	all	0.886	0.790
BBS12034	q3-ipssp	core	0.912	0.830
BBS12037	sov-ipssp	all	0.800	0.550
BBS12037	sov-ipssp	core	0.893	0.730
BB12032	q3	all	0.830	0.610
BB12032	q3	core	0.927	0.810
BB12030	q3-ipssp	all	0.875	0.720
BB12030	q3-ipssp	core	0.943	0.840
BBS12041	q3-ipssp	all	0.576	0.260
BBS12041	q3-ipssp	core	0.771	0.470
BBS12017	sov-ipssp	all	0.860	0.700
BBS12017	sov-ipssp	core	0.937	0.820
BB12021	q3-ipssp	all	0.465	0.000
BB12021	q3-ipssp	core	0.535	0.000
BB12023	ref	all	0.758	0.590
BB12023	ref	core	0.794	0.650
BBS12025	q3	all	0.748	0.620
BBS12025	q3	core	0.875	0.810
BBS12002	abs	all	0.885	0.690
BBS12002	abs	core	0.891	0.710
BB12003	sov-ipssp	all	0.842	0.650
BB12003	sov-ipssp	core	0.904	0.810
BB12013	abs	all	0.913	0.800
BB12013	abs	core	0.949	0.860
BB12011	sov-ipssp	all	0.650	0.380
BB12011	sov-ipssp	core	0.747	0.500
BBS12002	sov	all	0.868	0.660
BBS12002	sov	core	0.870	0.670
BBS12024	abs	all	0.875	0.760
BBS12024	abs	core	0.940	0.880
BBS12044	q3	all	0.858	0.640
BBS12044	q3	core	0.895	0.710
BB12027	sov	all	0.872	0.660
BB12027	sov	core	0.933	0.780
BB12030	ref	all	0.891	0.770
BB12030	ref	core	0.956	0.880
BB12026	sov	all	0.859	0.580
BB12026	sov	core	0.905	0.670
BB12023	sov-ipssp	all	0.745	0.580
BB12023	sov-ipssp	core	0.788	0.650
BBS12026	sov	all	0.868	0.580
BBS12026	sov	core	0.914	0.670
BB12042	q3	all	0.612	0.400
BB12042	q3	core	0.672	0.460
BBS12035	ref	all	0.828	0.430
BBS12035	ref	core	0.933	0.700
BBS12021	q3	all	0.837	0.730
BBS12021	q3	core	0.916	0.870
BB12004	ref	all	0.898	0.580
BB12004	ref	core	0.928	0.650
BB12027	ref	all	0.866	0.660
BB12027	ref	core	0.905	0.730
BBS12010	abs	all	0.898	0.760
BBS12010	abs	core	0.939	0.850
BBS12035	sov	all	0.826	0.450
BBS12035	sov	core	0.926	0.690
BBS12008	q3	all	0.902	0.670
BBS12008	q3	core	0.932	0.790
BB12017	abs	all	0.861	0.690
BB12017	abs	core	0.939	0.840
BBS12028	abs	all	0.754	0.540
BBS12028	abs	core	0.903	0.770
BBS12013	sov-ipssp	all	0.915	0.810
BBS12013	sov-ipssp	core	0.959	0.870
BB12036	sov	all	0.957	0.890
BB12036	sov	core	0.975	0.940
BB12017	q3-ipssp	all	0.845	0.690
BB12017	q3-ipssp	core	0.918	0.840
BB12041	q3	all	0.689	0.400
BB12041	q3	core	0.891	0.670
BBS12016	q3	all	0.816	0.600
BBS12016	q3	core	0.905	0.790
BBS12001	sov	all	0.766	0.560
BBS12001	sov	core	0.854	0.710
BB12033	abs	all	0.659	0.390
BB12033	abs	core	0.732	0.490
BB12019	sov	all	0.846	0.720
BB12019	sov	core	0.902	0.820
BBS12021	sov	all	0.835	0.660
BBS12021	sov	core	0.916	0.870
BBS12040	abs	all	0.949	0.920
BBS12040	abs	core	0.986	0.970
BBS12001	ref	all	0.747	0.530
BBS12001	ref	core	0.832	0.690
BB12030	abs	all	0.929	0.870
BB12030	abs	core	0.981	0.950
BB12010	abs	all	0.894	0.750
BB12010	abs	core	0.939	0.850
BB12004	abs	all	0.889	0.560
BB12004	abs	core	0.919	0.630
BBS12040	q3-ipssp	all	0.935	0.890
BBS12040	q3-ipssp	core	0.971	0.940
BB12022	sov-ipssp	all	0.773	0.560
BB12022	sov-ipssp	core	0.906	0.780
BB12043	ref	all	0.879	0.420
BB12043	ref	core	0.952	0.750
BB12004	sov	all	0.890	0.550
BB12004	sov	core	0.922	0.630
BB12035	q3	all	0.860	0.470
BB12035	q3	core	0.944	0.720
BB12039	sov	all	0.339	0.000
BB12039	sov	core	0.331	0.000
BB12035	sov	all	0.839	0.360
BB12035	sov	core	0.920	0.610
BBS12016	abs	all	0.779	0.510
BBS12016	abs	core	0.834	0.610
BBS12039	abs	all	0.312	0.000
BBS12039	abs	core	0.321	0.000
BBS12006	q3	all	0.873	0.820
BBS12006	q3	core	0.943	0.900
BBS12005	ref	all	0.851	0.530
BBS12005	ref	core	0.920	0.650
BB12040	sov-ipssp	all	0.935	0.900
BB12040	sov-ipssp	core	0.972	0.950
BB12036	ref	all	0.942	0.870
BB12036	ref	core	0.965	0.920
BBS50016	sov-ipssp	all	0.745	0.280
BBS50016	sov-ipssp	core	0.792	0.380
BBS50007	sov-ipssp	all	0.566	0.010
BBS50007	sov-ipssp	core	0.725	0.010
BBS50011	abs	all	0.573	0.120
BBS50011	abs	core	0.649	0.140
BB50009	q3	all	0.747	0.210
BB50009	q3	core	0.901	0.420
BBS50009	q3	all	0.830	0.230
BBS50009	q3	core	0.897	0.410
BBS50007	abs	all	0.536	0.010
BBS50007	abs	core	0.673	0.000
BBS50016	abs	all	0.748	0.270
BBS50016	abs	core	0.793	0.360
BBS50011	q3	all	0.621	0.160
BBS50011	q3	core	0.713	0.180
BB50004	q3	all	0.925	0.770
BB50004	q3	core	0.950	0.850
BB50002	ref	all	0.362	0.000
BB50002	ref	core	0.531	0.000
BB50015	ref	all	0.560	0.160
BB50015	ref	core	0.785	0.480
BBS50006	sov-ipssp	all	0.692	0.170
BBS50006	sov-ipssp	core	0.856	0.400
BB50010	abs	all	0.652	0.030
BB50010	abs	core	0.736	0.000
BB50013	ref	all	0.916	0.690
BB50013	ref	core	0.953	0.820
BBS50005	sov	all	0.895	0.650
BBS50005	sov	core	0.930	0.740
BB50006	q3	all	0.637	0.160
BB50006	q3	core	0.888	0.480
BBS50012	q3	all	0.759	0.250
BBS50012	q3	core	0.884	0.440
BBS50005	q3-ipssp	all	0.874	0.610
BBS50005	q3-ipssp	core	0.914	0.700
BBS50013	sov	all	0.909	0.680
BBS50013	sov	core	0.950	0.820
BB50003	abs	all	0.530	0.160
BB50003	abs	core	0.797	0.470
BB50015	q3	all	0.452	0.000
BB50015	q3	core	0.587	0.000
BBS50013	q3	all	0.916	0.700
BBS50013	q3	core	0.957	0.830
BB50015	sov	all	0.450	0.000
BB50015	sov	core	0.593	0.000
BB50007	abs	all	0.518	0.010
BB50007	abs	core	0.663	0.000
BBS50016	q3	all	0.747	0.310
BBS50016	q3	core	0.799	0.420
BBS50016	ref	all	0.755	0.290
BBS50016	ref	core	0.800	0.390
BB50008	sov-ipssp	all	0.720	0.410
BB50008	sov-ipssp	core	0.790	0.540
BB50011	abs	all	0.567	0.120
BB50011	abs	core	0.650	0.140
BBS50002	abs	all	0.418	0.020
BBS50002	abs	core	0.597	0.070
BB50013	q3	all	0.903	0.640
BB50013	q3	core	0.939	0.760
BBS50003	q3	all	0.742	0.290
BBS50003	q3	core	0.808	0.380
BBS50011	sov-ipssp	all	0.556	0.120
BBS50011	sov-ipssp	core	0.621	0.140
BB50002	q3	all	0.270	0.000
BB50002	q3	core	0.343	0.000
BB50016	ref	all	0.753	0.290
BB50016	ref	core	0.803	0.380
BB50008	q3-ipssp	all	0.762	0.410
BB50008	q3-ipssp	core	0.837	0.580
BBS50014	q3-ipssp	all	0.776	0.420
BBS50014	q3-ipssp	core	0.908	0.660
BBS50015	sov	all	0.589	0.180
BBS50015	sov	core	0.793	0.480
BBS50011	sov	all	0.619	0.160
BBS50011	sov	core	0.715	0.180
BBS50008	abs	all	0.775	0.520
BBS50008	abs	core	0.876	0.700
BBS50006	abs	all	0.679	0.170
BBS50006	abs	core	0.854	0.410
BBS50006	sov	all	0.681	0.180
BBS50006	sov	core	0.868	0.410
BB50005	sov	all	0.886	0.620
BB50005	sov	core	0.923	0.720
BB50015	q3-ipssp	all	0.428	0.000
BB50015	q3-ipssp	core	0.564	0.000
BBS50002	sov	all	0.454	0.040
BBS50002	sov	core	0.674	0.140
BBS50015	ref	all	0.533	0.170
BBS50015	ref	core	0.748	0.480
BB50006	sov-ipssp	all	0.623	0.100
BB50006	sov-ipssp	core	0.861	0.290
BB50010	sov	all	0.684	0.060
BB50010	sov	core	0.778	0.090
BB50011	q3-ipssp	all	0.530	0.110
BB50011	q3-ipssp	core	0.604	0.140
BB50008	ref	all	0.782	0.510
BB50008	ref	core	0.887	0.760
BBS50003	ref	all	0.768	0.380
BBS50003	ref	core	0.834	0.510
BBS50011	ref	all	0.671	0.230
BBS50011	ref	core	0.757	0.270
BBS50001	abs	all	0.726	0.280
BBS50001	abs	core	0.799	0.410
BBS50001	ref	all	0.718	0.300
BBS50001	ref	core	0.767	0.420
BBS50008	ref	all	0.771	0.550
BBS50008	ref	core	0.885	0.750
BBS50005	q3	all	0.878	0.630
BBS50005	q3	core	0.915	0.730
BB50007	sov	all	0.530	0.010
BB50007	sov	core	0.684	0.000
BBS50001	q3-ipssp	all	0.717	0.320
BBS50001	q3-ipssp	core	0.789	0.470
BBS50005	abs	all	0.877	0.600
BBS50005	abs	core	0.922	0.700
BBS50012	sov	all	0.754	0.240
BBS50012	sov	core	0.881	0.440
BB50014	q3	all	0.785	0.380
BB50014	q3	core	0.921	0.670
BB50010	q3-ipssp	all	0.647	0.030
BB50010	q3-ipssp	core	0.706	0.000
BB50002	q3-ipssp	all	0.331	0.000
BB50002	q3-ipssp	core	0.472	0.000
BBS50001	sov	all	0.721	0.360
BBS50001	sov	core	0.786	0.480
BB50009	sov	all	0.748	0.200
BB50009	sov	core	0.896	0.420
BBS50006	q3-ipssp	all	0.656	0.170
BBS50006	q3-ipssp	core	0.806	0.400
BB50001	q3	all	0.697	0.290
BB50001	q3	core	0.777	0.390
BB50011	q3	all	0.608	0.150
BB50011	q3	core	0.712	0.180
BBS50014	abs	all	0.775	0.370
BBS50014	abs	core	0.893	0.630
BB50015	abs	all	0.431	0.000
BB50015	abs	core	0.578	0.000
BB50003	ref	all	0.513	0.150
BB50003	ref	core	0.792	0.450
BB50003	q3	all	0.540	0.160
BB50003	q3	core	0.830	0.490
BB50016	q3-ipssp	all	0.759	0.310
BB50016	q3-ipssp	core	0.808	0.380
BB50013	sov-ipssp	all	0.895	0.590
BB50013	sov-ipssp	core	0.920	0.660
BBS50002	sov-ipssp	all	0.394	0.000
BBS50002	sov-ipssp	core	0.574	0.020
BBS50003	sov	all	0.745	0.290
BBS50003	sov	core	0.808	0.380
BBS50015	sov-ipssp	all	0.567	0.170
BBS50015	sov-ipssp	core	0.749	0.480
BB50002	sov	all	0.367	0.000
BB50002	sov	core	0.555	0.000
BB50001	abs	all	0.709	0.280
BB50001	abs	core	0.790	0.410
BBS50009	ref	all	0.833	0.240
BBS50009	ref	core	0.900	0.450
BBS50005	sov-ipssp	all	0.879	0.590
BBS50005	sov-ipssp	core	0.914	0.670
BBS50009	abs	all	0.834	0.260
BBS50009	abs	core	0.902	0.450
BB50007	q3	all	0.541	0.010
BB50007	q3	core	0.672	0.000
BB50005	ref	all	0.887	0.640
BB50005	ref	core	0.926	0.740
BBS50014	ref	all	0.780	0.430
BBS50014	ref	core	0.893	0.640
BB50007	q3-ipssp	all	0.548	0.010
BB50007	q3-ipssp	core	0.699	0.000
BBS50009	q3-ipssp	all	0.811	0.230
BBS50009	q3-ipssp	core	0.881	0.410
BBS50001	sov-ipssp	all	0.715	0.310
BBS50001	sov-ipssp	core	0.774	0.470
BB50014	q3-ipssp	all	0.754	0.400
BB50014	q3-ipssp	core	0.904	0.660
BBS50012	ref	all	0.756	0.230
BBS50012	ref	core	0.876	0.440
BBS50012	abs	all	0.741	0.260
BBS50012	abs	core	0.866	0.450
BB50005	abs	all	0.883	0.600
BB50005	abs	core	0.922	0.700
BBS50013	ref	all	0.903	0.650
BBS50013	ref	core	0.952	0.820
BBS50007	sov	all	0.555	0.010
BBS50007	sov	core	0.699	0.000
BB50007	ref	all	0.564	0.010
BB50007	ref	core	0.727	0.000
BBS50012	sov-ipssp	all	0.777	0.300
BBS50012	sov-ipssp	core	0.912	0.540
BB50011	sov-ipssp	all	0.551	0.110
BB50011	sov-ipssp	core	0.651	0.140
BB50013	abs	all	0.896	0.640
BB50013	abs	core	0.939	0.760
BB50008	abs	all	0.746	0.500
BB50008	abs	core	0.848	0.690
BBS50014	sov-ipssp	all	0.803	0.450
BBS50014	sov-ipssp	core	0.922	0.710
BBS50002	q3	all	0.444	0.040
BBS50002	q3	core	0.660	0.140
BBS50016	q3-ipssp	all	0.755	0.320
BBS50016	q3-ipssp	core	0.801	0.390
BB50006	ref	all	0.608	0.210
BB50006	ref	core	0.862	0.410
BB50004	q3-ipssp	all	0.916	0.760
BB50004	q3-ipssp	core	0.944	0.830
BBS50010	q3	all	0.764	0.300
BBS50010	q3	core	0.855	0.400
BB50014	sov-ipssp	all	0.732	0.290
BB50014	sov-ipssp	core	0.882	0.530
BB50009	ref	all	0.748	0.220
BB50009	ref	core	0.899	0.460
BB50001	q3-ipssp	all	0.698	0.280
BB50001	q3-ipssp	core	0.786	0.390
BB50011	sov	all	0.603	0.150
BB50011	sov	core	0.712	0.180
BB50006	q3-ipssp	all	0.599	0.140
BB50006	q3-ipssp	core	0.806	0.400
BBS50010	abs	all	0.749	0.300
BBS50010	abs	core	0.829	0.400
BBS50008	q3-ipssp	all	0.704	0.400
BBS50008	q3-ipssp	core	0.808	0.540
BB50012	q3	all	0.697	0.220
BB50012	q3	core	0.873	0.450
BBS50006	q3	all	0.689	0.190
BBS50006	q3	core	0.869	0.480
BB50012	ref	all	0.683	0.210
BB50012	ref	core	0.866	0.440
BBS50013	q3-ipssp	all	0.904	0.650
BBS50013	q3-ipssp	core	0.935	0.740
BBS50012	q3-ipssp	all	0.731	0.240
BBS50012	q3-ipssp	core	0.876	0.430
BB50012	q3-ipssp	all	0.681	0.220
BB50012	q3-ipssp	core	0.864	0.430
BB50003	sov-ipssp	all	0.553	0.160
BB50003	sov-ipssp	core	0.854	0.510
BB50013	sov	all	0.910	0.660
BB50013	sov	core	0.945	0.780
BB50014	ref	all	0.761	0.400
BB50014	ref	core	0.894	0.640
BB50012	sov	all	0.708	0.210
BB50012	sov	core	0.873	0.440
BB50002	sov-ipssp	all	0.347	0.000
BB50002	sov-ipssp	core	0.498	0.000
BB50004	sov	all	0.927	0.790
BB50004	sov	core	0.953	0.860
BBS50013	sov-ipssp	all	0.903	0.650
BBS50013	sov-ipssp	core	0.951	0.810
BB50001	sov	all	0.707	0.360
BB50001	sov	core	0.793	0.480
BBS50007	ref	all	0.562	0.010
BBS50007	ref	core	0.716	0.000
BB50008	sov	all	0.768	0.490
BB50008	sov	core	0.852	0.690
BBS50007	q3	all	0.554	0.010
BBS50007	q3	core	0.704	0.010
BB50012	abs	all	0.685	0.210
BB50012	abs	core	0.857	0.450
BBS50009	sov	all	0.834	0.220
BBS50009	sov	core	0.895	0.410
BB50004	abs	all	0.925	0.780
BB50004	abs	core	0.949	0.850
BB50012	sov-ipssp	all	0.666	0.250
BB50012	sov-ipssp	core	0.853	0.550
BB50004	sov-ipssp	all	0.915	0.760
BB50004	sov-ipssp	core	0.941	0.820
BB50008	q3	all	0.768	0.490
BB50008	q3	core	0.848	0.690
BBS50008	sov	all	0.770	0.510
BBS50008	sov	core	0.871	0.690
BBS50009	sov-ipssp	all	0.823	0.170
BBS50009	sov-ipssp	core	0.886	0.300
BB50005	q3-ipssp	all	0.882	0.620
BB50005	q3-ipssp	core	0.918	0.710
BBS50002	ref	all	0.442	0.000
BBS50002	ref	core	0.659	0.000
BB50001	sov-ipssp	all	0.709	0.330
BB50001	sov-ipssp	core	0.787	0.470
BB50015	sov-ipssp	all	0.444	0.000
BB50015	sov-ipssp	core	0.577	0.000
BB50006	abs	all	0.619	0.150
BB50006	abs	core	0.853	0.410
BBS50010	q3-ipssp	all	0.758	0.290
BBS50010	q3-ipssp	core	0.852	0.390
BBS50015	q3-ipssp	all	0.603	0.120
BBS50015	q3-ipssp	core	0.778	0.340
BBS50005	ref	all	0.889	0.640
BBS50005	ref	core	0.930	0.740
BBS50014	q3	all	0.807	0.420
BBS50014	q3	core	0.925	0.670
BB50016	sov-ipssp	all	0.751	0.290
BB50016	sov-ipssp	core	0.803	0.390
BBS50013	abs	all	0.892	0.600
BBS50013	abs	core	0.939	0.760
BB50011	ref	all	0.626	0.240
BB50011	ref	core	0.726	0.280
BB50010	sov-ipssp	all	0.670	0.030
BB50010	sov-ipssp	core	0.754	0.000
BB50003	q3-ipssp	all	0.528	0.170
BB50003	q3-ipssp	core	0.807	0.510
BB50010	ref	all	0.693	0.240
BB50010	ref	core	0.790	0.310
BBS50014	sov	all	0.807	0.450
BBS50014	sov	core	0.915	0.710
BBS50015	abs	all	0.587	0.180
BBS50015	abs	core	0.791	0.480
BB50016	q3	all	0.739	0.310
BB50016	q3	core	0.796	0.420
BBS50010	ref	all	0.723	0.210
BBS50010	ref	core	0.775	0.250
BB50016	sov	all	0.786	0.380
BB50016	sov	core	0.849	0.520
BBS50001	q3	all	0.711	0.280
BBS50001	q3	core	0.786	0.390
BB50002	abs	all	0.337	0.000
BB50002	abs	core	0.489	0.000
BB50014	abs	all	0.762	0.360
BB50014	abs	core	0.901	0.640
BB50005	sov-ipssp	all	0.882	0.600
BB50005	sov-ipssp	core	0.912	0.680
BBS50008	sov-ipssp	all	0.725	0.440
BBS50008	sov-ipssp	core	0.827	0.600
BBS50007	q3-ipssp	all	0.572	0.010
BBS50007	q3-ipssp	core	0.727	0.000
BBS50008	q3	all	0.772	0.510
BBS50008	q3	core	0.871	0.690
BBS50003	abs	all	0.725	0.320
BBS50003	abs	core	0.782	0.410
